dc_type_de,gnd_uri
Dokument / einfacher Geschäftsbrief,http://d-nb.info/gnd/4071765-3
Dokument / Faksimile,Q3IF6Z3BABNHNSFNQ6JQ46B5CHLWPZRG
Dokumentarfilm,http://filmportal.vocnet.org/specificType/st00006
Dokumentarfotografie,http://d-nb.info/gnd/4142019-6
Dose,GL54XFUU5QLHXEU45FV6WV5JXFXLA5KK
Drama,http://d-nb.info/gnd/4012899-4
Dramatik,RQQYAIEZZR3NEYQUTE546ZOHNQHEIDAW
Drehbuch,http://d-nb.info/gnd/4127976-1
Druck,http://d-nb.info/gnd/4113357-2
Druck (aus Serie),UOMPEXEKLXHC6PYPESV44W5FN527MLSX
Druck Einzeichnung,MS5FZ6FNTKOHPUU5VZYNMDMK3GFGOBV7
Druck Landkarte,4CER3SB3MI6SBGSRO2LWRE4HOHFUH5WH
Druck Serie,WJC2DW7HPP64NXN6KEMT4QSEK6JJ5I5W
Druck- und Schriftgut,JGIO4BXRVP7UJI57AZEUGJLRG4WUCAKP
Druck- und Schriftgut – Buch (gedruckt),
Druck- und Schriftgut – Noten,
Druck- und Schriftgut – Typoskript,
Druck- und Schriftgut – Zeitschrift,
Druck- und Schriftgut – Zeitschrift – Zeitschriftenartikel,
Druck- und Schriftgut – Zeitung,
Druck- und Schriftgut – Zeitung – Zeitungsartikel,
Druckbogen,HOJJG3JJEYECW2YAZXWS3RO7FP5J32YL
Druckerzeugnis,http://d-nb.info/gnd/4013134-8
Druckfahne,DNG43XE6CYJFPWZKVDSMXNFLBO7VM36J
Druckgrafik,http://d-nb.info/gnd/4113357-2
Druckgrafik (allgemein),UHSO2RXH5P6XNJSCBH7HEWFBEABJCG5O
Druckgraphik,http://d-nb.info/gnd/4021845-4
Drucksache,http://d-nb.info/gnd/4013119-1
Drucksachen,NYKHI3T764KIUSC46SJYIEOXYERRK6C5
Druckschrift,AR4EG2UKWNFUOI734OV44SFFBMNZTKTE
Druckvorlage,http://d-nb.info/gnd/4417379-9
Druckwerk,http://d-nb.info/gnd/4013134-8
Druckwerk; Buch,MZEKPUHG7UAVDVVPFSI6G67QRY7NCEM7
"Druckwesen, Schriftwesen*",43UN7F3R4OOK24DZTNSKSY5QLJ5IMN7L
Dörrofen,E6F7K7B6TDB7QYXBMUGO4NTSBITOGVN2
Echtheitsbestätigung,PPMF7XF4KEX2VCPJNRJ62O2UIOL4VH5P
Edison-Walze,6ERA4TTUUKKVWPA3DLZSEXULJSCA25UA
